code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
J59-164;Subaru (H) <128730>;;Subaru (H) <128730>;;;;;;
J59-111;Subaru (J) <178730>;;Subaru (J) <178730>;;;;;;
J59-217;Subaru (USA) <028730>;;Subaru (USA) <028730>;;;;;;
J59-174;Suzuki (CND) <368800>;;Suzuki (CND) <368800>;;;;;;
J59-165;Suzuki (E) <228800>;;Suzuki (E) <228800>;;;;;;
J59-169;Suzuki (H) <128800>;;Suzuki (H) <128800>;;;;;;
J59-157;Suzuki (IND) <358800>;;Suzuki (IND) <358800>;;;;;;
J59-129;Suzuki (J) <178800>;;Suzuki (J) <178800>;;;;;;
J59-264;Suzuki (TH) <408800>;;Suzuki (TH) <408800>;;;;;;
J59-101;SAS <118110>;;SAS <118110>;;;;;;
J59-112;Talbot Simca <068830>;;Talbot Simca <068830>;;;;;;
J59-113;Talbot Sunbeam <058831>;;Talbot Sunbeam <058831>;;;;;;
J59-181;Tata <358838>;;Tata <358838>;;;;;;
J59-114;Tatra (CS) <108840>;;Tatra (CS) <108840>;;;;;;
J59-166;Tatra (SK) <308840>;;Tatra (SK) <308840>;;;;;;
J59-115;Tempo <048880>;;Tempo <048880>;;;;;;
J59-291;Tesla (D) <048905>;;Tesla (D) <048905>;;;;;;
J59-234;Tesla (GB) <058905>;;Tesla (GB) <058905>;;;;;;
J59-286;Tesla (RC) <338905>;;Tesla (RC) <338905>;;;;;;
J59-255;Tesla (USA) <028905>;;Tesla (USA) <028905>;;;;;;
J59-231;Think (N) <458911>;;Think (N) <458911>;;;;;;
J59-278;Toyota (A) <018990>;;Toyota (A) <018990>;;;;;;
J59-198;Toyota (CND) <368990>;;Toyota (CND) <368990>;;;;;;
J59-205;Toyota (CS) <108990>;;Toyota (CS) <108990>;;;;;;
J59-182;Toyota (F) <068990>;;Toyota (F) <068990>;;;;;;
J59-149;Toyota (GB) <058990>;;Toyota (GB) <058990>;;;;;;
J59-117;Toyota (J) <178990>;;Toyota (J) <178990>;;;;;;
J59-194;Toyota (RC) <338990>;;Toyota (RC) <338990>;;;;;;
J59-183;Toyota (TR) <398990>;;Toyota (TR) <398990>;;;;;;
J59-186;Toyota (USA) <028990>;;Toyota (USA) <028990>;;;;;;
J59-224;Toyota (ZA) <438990>;;Toyota (ZA) <438990>;;;;;;
J59-118;Triumph <059010>;;Triumph <059010>;;;;;;
J59-208;Unic (F) <069120>;;Unic (F) <069120>;;;;;;
J59-119;Vauxhall <059240>;;Vauxhall <059240>;;;;;;
J59-120;Victoria Spatz <049320>;;Victoria Spatz <049320>;;;;;;
J59-136;Volvo (NL) <139360>;;Volvo (NL) <139360>;;;;;;
J59-272;Volvo (RC) <339360>;;Volvo (RC) <339360>;;;;;;
J59-121;Volvo (S) <089360>;;Volvo (S) <089360>;;;;;;
J59-276;Volvo (USA) <029360>;;Volvo (USA) <029360>;;;;;;
J59-202;VW (BR) <389400>;;VW (BR) <389400>;;;;;;
J59-122;VW (D) <049400>;;VW (D) <049400>;;;;;;
J59-167;VW (Mexiko) <379400>;;VW (Mexiko) <379400>;;;;;;
J59-273;VW (USA) <029400>;;VW (USA) <029400>;;;;;;
J59-123;Wanderer <049580>;;Wanderer <049580>;;;;;;
J59-199;Wiesmann (D) <049710>;;Wiesmann (D) <049710>;;;;;;
J59-171;Withe <029680>;;Withe <029680>;;;;;;
J59-125;Wolseley <059740>;;Wolseley <059740>;;;;;;
J59-126;Zagato <079880>;;Zagato <079880>;;;;;;
J59-127;Zastava <169900>;;Zastava <169900>;;;;;;
J59-128;Sonstige <..9999>;;Others <..9999>;"Die beiden Punkte innerhalb der Kennzahl stehen für '01' bis '46' oder '99'.
";;The two dots within a code stand for '01' to '46' or '99'.;;;
J59-0;Nicht klassifizierbar <0>;;Not classifiable <0>;;;;;;
